1000 2000
42 146 56716141 
42 438 73439559 
43 87 87563815 
43 863 46492500 
44 484 68009525 
44 242 59833737 
44 722 44289265 
45 298 2929472 
45 842 23117698 
45 51 66056808 
45 759 118126 
46 844 1676902 
46 317 25063799 
46 180 78505760 
46 290 58334151 
47 56 94831193 
47 698 73803862 
47 609 96490119 
47 406 54692470 
48 876 33272927 
48 154 71394157 
48 936 52565822 
49 453 43053325 
49 137 3773520 
49 402 48361443 
49 714 93534810 
49 231 34416815 
49 115 48108932 
50 487 31891823 
50 249 36293472 
50 811 37594088 
50 511 48039754 
50 409 94906485 
51 558 81682494 
52 849 83703527 
52 981 49027978 
52 296 65374796 
53 407 11682492 
53 676 35787391 
54 414 94917587 
55 645 3394103 
55 136 9644828 
55 239 21826661 
55 132 13363531 
56 517 56440196 
56 796 85400205 
56 584 88455854 
56 396 94403518 
56 76 42299409 
56 866 41242903 
56 321 49511644 
56 217 27703889 
57 619 8161668 
57 712 18800940 
57 84 91160970 
57 917 29845734 
58 939 63872438 
58 708 42449259 
58 572 54612077 
58 255 29042769 
58 894 28139980 
59 676 65254465 
59 234 64660407 
59 935 57084122 
60 558 31245673 
61 677 98098211 
61 626 26077422 
61 699 21451810 
61 879 48342648 
62 892 60016130 
62 591 77406228 
62 319 55176702 
62 483 76622370 
62 999 25436817 
63 572 45265893 
63 82 1516956 
63 221 29737414 
63 589 82214913 
64 818 5260082 
64 859 39155084 
64 361 81318185 
64 851 95663495 
64 954 83079907 
65 639 1642145 
65 454 73796670 
65 513 61428387 
65 334 72230427 
65 203 40143058 
65 99 78598756 
65 780 51466560 
66 935 67891816 
66 397 40382314 
66 470 82089051 
66 804 61960304 
67 729 99402549 
67 328 72406987 
67 678 78128173 
68 224 80787139 
69 259 65381849 
69 295 16969694 
69 612 22165948 
70 393 79427635 
70 865 68292971 
70 161 19365629 
70 546 65734286 
70 611 71925514 
71 470 50527765 
71 93 41633827 
71 207 60328543 
72 968 72023644 
72 649 94792944 
73 965 63844427 
73 281 57161111 
73 354 40074470 
73 990 75669437 
74 368 11175805 
74 569 35435160 
74 825 83606352 
74 666 63565044 
75 329 40707498 
75 954 17916315 
75 802 86064560 
75 892 5873654 
75 815 44292184 
75 405 144799 
76 382 16108586 
76 832 91900277 
76 89 90508958 
76 869 92380942 
76 766 57226170 
77 840 72195343 
77 438 91168578 
78 867 8380622 
79 402 91890386 
79 972 87230747 
79 473 9367459 
80 208 6707735 
80 902 33943294 
80 633 83906757 
80 223 91307962 
80 305 50220375 
81 638 31122798 
81 92 39772748 
81 505 29115129 
81 717 26281530 
82 513 82274518 
83 380 29972893 
83 337 45129004 
83 815 47408486 
83 485 47270534 
83 568 91841288 
83 839 92188984 
83 640 32315393 
83 973 97855579 
83 243 62860364 
83 977 75816153 
83 728 54126920 
83 775 38026299 
84 320 26733399 
85 166 43354091 
85 790 88923172 
85 791 53811258 
86 337 95608095 
86 979 89786679 
86 810 35872046 
86 769 28831773 
86 160 11863700 
86 888 49256044 
86 335 48149120 
86 247 8870212 
87 860 85006337 
87 607 85261622 
88 378 34091202 
88 395 37171336 
88 861 44056895 
89 403 40756460 
90 279 36736999 
90 636 14136951 
90 179 48621239 
90 507 22355348 
90 762 3061862 
90 695 87454443 
91 283 19049079 
91 480 91486418 
91 489 60977779 
93 760 46809466 
93 665 39751728 
93 642 68065656 
93 519 3620840 
93 979 69223232 
94 853 56121076 
94 316 63210862 
94 433 43196210 
94 303 74773730 
95 959 75055448 
95 963 95377224 
95 731 43494298 
95 427 74711679 
95 446 92933053 
96 122 27298377 
96 117 36808749 
97 489 9654671 
97 985 45903689 
97 399 41552094 
97 367 96040607 
98 131 99218257 
98 774 94142408 
98 647 22380994 
98 235 98025980 
98 330 58842481 
98 937 13711997 
99 742 79986203 
99 274 66190836 
99 370 3755877 
99 329 55949713 
100 732 42578290 
100 685 24582 
100 960 98351631 
100 629 98235342 
101 913 84752726 
101 214 63043306 
102 928 57708349 
102 581 13643135 
102 715 23415758 
102 372 34011914 
102 680 11908303 
102 255 23265810 
102 517 7941454 
103 703 82392775 
103 993 94311982 
103 512 97774776 
103 735 37240002 
104 946 55175106 
104 216 2232639 
105 964 67175139 
105 523 23558392 
105 591 2808455 
106 609 70671146 
106 732 88824428 
106 335 28264148 
106 412 15158039 
106 263 23209967 
106 745 32760856 
106 227 16932183 
106 597 35997022 
107 983 36875456 
107 637 313209 
107 671 17020593 
107 640 86087328 
108 188 91779629 
108 852 14518212 
108 207 83048739 
109 767 67177647 
109 298 5485543 
109 299 65664820 
109 289 64749499 
109 356 60998545 
110 690 63549295 
110 909 10058649 
110 678 67220116 
111 519 25966323 
111 173 29297852 
112 581 39725921 
112 939 48761177 
112 788 42110277 
112 163 39150219 
113 475 82660779 
113 430 23044139 
113 743 94577916 
113 280 57342714 
114 252 42385822 
114 668 40141502 
115 354 36116319 
115 568 88702480 
115 782 5775664 
115 273 97605423 
115 552 11835912 
115 377 27380345 
115 198 51862591 
115 127 59083636 
116 400 555779 
116 893 13144990 
116 958 29961345 
116 963 82788632 
116 397 32048909 
117 627 50092437 
117 147 17839964 
118 559 41263515 
118 664 57490946 
118 175 36514195 
118 435 91831789 
118 419 54817618 
119 272 1106066 
120 466 87046997 
120 592 97684736 
120 285 21893895 
120 150 6399706 
120 896 91167244 
121 847 40899863 
121 469 94264465 
122 533 56406502 
122 739 45284672 
122 721 47218006 
122 483 35870120 
122 413 73906333 
123 559 14732829 
124 779 33404223 
124 419 85807270 
124 244 29899238 
124 796 45118053 
124 575 37707659 
125 809 53988765 
125 993 80536067 
126 539 52231600 
126 826 76540573 
126 656 36505166 
126 272 28694212 
126 139 23855179 
126 831 34675305 
127 932 63520148 
127 488 32722793 
128 486 43085829 
128 801 38936880 
129 313 97950281 
129 866 19908315 
129 701 94192137 
130 739 22565828 
130 978 99371937 
130 709 27454679 
131 752 96298696 
131 953 97675462 
131 727 63042195 
131 335 6621900 
132 883 69159790 
133 400 48884817 
133 306 75925889 
133 217 8444597 
133 689 68660691 
133 719 25526493 
133 707 26452599 
133 336 90518628 
133 876 30426271 
133 584 50507790 
133 592 73995653 
134 786 40114003 
134 306 72179241 
134 252 48786241 
135 753 40164563 
135 956 11034435 
135 199 60938438 
135 795 57664518 
135 503 92481985 
135 253 52149462 
136 599 46295789 
136 883 66190386 
137 795 72832828 
137 759 72159988 
137 294 56945952 
137 766 78230628 
137 143 65205782 
137 314 31131577 
138 550 26732119 
138 919 16944097 
139 920 67784971 
139 313 2699531 
140 470 64307157 
141 646 27481941 
142 397 75380718 
142 740 7040335 
143 691 23022953 
143 377 57359594 
144 183 17805005 
144 331 37347782 
144 358 9630296 
145 560 58710095 
145 517 85563532 
146 584 42208321 
146 206 36550820 
146 808 55178871 
146 932 92182239 
147 858 13846122 
148 683 45640147 
148 289 43698780 
148 353 87674016 
149 426 77374432 
149 545 76030875 
149 183 70396839 
149 184 39618319 
149 647 70657289 
150 713 92407724 
151 203 8057911 
151 169 29735192 
151 342 11350013 
152 792 96429465 
152 875 73903712 
152 503 94149911 
152 451 57702548 
154 636 76149568 
154 675 35193259 
154 158 48245141 
154 708 14740278 
155 950 1045338 
155 907 84266048 
155 959 81189104 
155 558 56619357 
156 834 77250255 
156 408 90623260 
156 625 17287356 
156 739 45817985 
156 176 82799799 
156 980 98086826 
157 604 47894522 
157 400 94729713 
157 696 8413156 
158 178 57358820 
158 826 73695453 
158 599 53181992 
159 180 91619826 
159 331 91166211 
159 535 46096509 
159 385 31442932 
159 309 4105038 
159 656 45316983 
160 441 57596749 
161 186 65846116 
161 868 40816037 
162 458 75318689 
162 479 15555797 
162 953 59591269 
162 370 4079220 
163 266 55778150 
163 292 97870305 
163 633 24829808 
164 943 59855658 
164 175 49267762 
164 652 1597453 
164 233 1415088 
164 469 64410501 
164 402 45982931 
165 776 47025127 
165 240 17258730 
166 611 69734500 
166 389 86565942 
166 255 43005037 
167 887 5416355 
167 282 22163428 
167 901 10998924 
167 539 65814957 
167 822 53479482 
167 555 84988849 
167 535 24406542 
167 174 51911157 
167 576 56971973 
168 296 33467493 
169 653 93843902 
169 580 50841546 
169 517 64205429 
169 235 34063177 
170 470 74475408 
170 745 42657766 
170 786 3362123 
171 538 91926852 
171 265 36690217 
171 301 97511081 
171 842 43615313 
171 500 49587523 
172 828 46112681 
173 771 29018111 
173 634 83630838 
173 228 58298440 
174 339 99323452 
174 646 71327876 
174 962 55030569 
174 650 78778158 
174 951 12368673 
176 557 71422704 
176 851 80915801 
176 625 16576481 
176 209 55071178 
176 518 24863397 
176 233 84972864 
176 942 98609221 
176 628 4830689 
177 586 80653018 
177 178 69659542 
177 518 33716243 
177 789 94059129 
177 320 49495493 
177 264 90621954 
178 783 99741717 
178 903 66213003 
178 687 27117106 
178 464 18999344 
178 284 82278835 
178 184 51832973 
179 764 74108850 
179 506 35888002 
179 401 14855757 
179 501 41190838 
180 687 19516766 
180 352 83152382 
180 201 93597394 
180 584 63726477 
180 478 56463922 
181 403 37347829 
181 944 50804604 
182 782 75492761 
182 741 65146535 
182 976 35790046 
182 822 94481479 
182 939 5835321 
184 546 62188699 
184 936 2823065 
184 527 91824670 
184 879 67996911 
184 809 90107156 
184 811 42253735 
185 816 66434103 
185 870 52274254 
185 271 88135859 
186 840 64955680 
186 567 5633445 
187 343 55529856 
187 871 33144187 
187 587 33137553 
187 483 99484088 
188 411 36643313 
188 640 94885099 
189 313 28592227 
189 280 56011441 
189 276 88821445 
189 708 89139987 
189 333 58461931 
189 471 67241652 
190 941 96371335 
190 465 64470948 
190 202 47956016 
191 448 34703 
191 696 80271740 
191 586 86869671 
191 810 72649315 
192 350 34160285 
192 468 84171490 
192 696 24671565 
193 800 50109780 
193 720 42200469 
193 259 83424641 
193 928 52364751 
194 208 8421396 
194 408 50224079 
194 741 52192953 
195 271 48813233 
195 261 13185974 
195 911 27920159 
195 920 72697887 
196 601 89572786 
198 229 19495072 
199 650 81849283 
199 223 81375180 
199 617 18249189 
199 887 79802331 
200 754 44059138 
200 697 40342919 
200 763 15597505 
201 431 59242910 
202 496 30043730 
202 810 16055175 
202 461 45283939 
202 346 67606312 
203 720 74694255 
203 319 65593661 
203 271 94020307 
203 212 99002143 
204 906 94355733 
204 908 11994333 
204 874 51340148 
205 381 23429811 
205 648 34906416 
205 368 18216279 
206 969 41111562 
206 417 29513431 
206 809 7507465 
206 751 98964406 
207 410 32958815 
207 266 55827395 
208 303 10404970 
208 714 6514489 
208 334 26094260 
208 903 21191053 
209 451 87165523 
209 988 59841111 
209 818 8990470 
209 713 23827410 
210 664 98509809 
210 596 13761690 
210 938 91940587 
210 640 38802505 
210 279 67470773 
210 909 19578393 
211 451 27464716 
211 549 12937080 
211 756 331421 
212 704 16855618 
212 306 39425357 
212 624 29699062 
212 630 41789439 
213 274 63820912 
213 922 71288773 
213 771 80593287 
213 739 43253687 
213 959 49076036 
214 377 70503115 
215 708 94522097 
215 833 80889759 
216 480 67256988 
216 890 70879243 
216 629 30319178 
217 726 74708035 
217 263 76535177 
217 668 3264706 
217 784 2420232 
217 889 96180879 
218 973 37588873 
219 718 39644424 
219 515 81006255 
219 593 45875518 
219 533 67382535 
219 586 71413275 
219 691 99439679 
220 585 31714302 
220 795 85020841 
220 329 16516397 
221 503 68991691 
221 901 13276178 
221 650 56565685 
221 454 27022685 
221 292 2285031 
221 377 87314802 
222 302 25270727 
222 960 88442201 
222 382 78017460 
223 749 84521157 
223 888 2990138 
223 396 71445035 
223 319 29432285 
223 477 19734762 
223 831 61657795 
224 550 72832938 
225 567 31714306 
225 369 25513339 
225 330 98693577 
226 821 28542971 
227 769 46951673 
227 559 27608562 
227 905 17622908 
227 822 33701647 
227 963 75275552 
227 787 70828882 
227 900 56925819 
229 874 63995067 
229 868 89512623 
229 754 65592789 
230 760 31974943 
230 561 73950577 
231 305 90496791 
231 418 50219683 
231 805 47267762 
231 943 25521658 
232 255 51147347 
232 523 39295594 
232 696 29462446 
233 662 93216411 
234 930 71675653 
234 463 24586197 
234 425 32270428 
234 587 65830117 
235 755 87123514 
235 633 18528205 
235 931 16224153 
235 812 25412107 
235 731 65921367 
235 422 7727471 
236 533 93087982 
236 489 87028720 
236 906 69483755 
236 683 31627137 
237 778 25330860 
237 988 26916855 
237 608 40667304 
237 658 45496324 
238 635 20814969 
238 848 38838375 
240 588 18182281 
240 668 83600722 
240 665 57316680 
240 313 21360632 
240 938 19900272 
241 939 68573435 
242 749 34116088 
242 887 40611796 
242 472 65537692 
243 386 12095067 
243 618 67445466 
243 450 41247991 
243 702 18943568 
243 515 42146755 
244 337 9835772 
244 802 63029042 
245 951 12467607 
245 321 21330433 
246 486 8398605 
246 320 63562132 
246 256 1046946 
246 480 54425068 
246 295 85392608 
247 527 18880431 
247 504 65245461 
247 336 38694403 
248 855 43799147 
248 486 30033037 
248 728 75801356 
249 997 41701746 
249 565 46169780 
250 922 17441297 
250 746 63841966 
251 673 26477302 
251 906 86607216 
251 470 38345260 
251 667 72723227 
251 423 74956518 
252 854 8756096 
252 545 88551514 
252 733 29593960 
253 354 46831779 
254 307 36763030 
254 506 93708647 
255 346 55597368 
255 964 87332645 
256 989 1619328 
256 622 87665460 
256 774 83438661 
256 691 27410503 
257 515 20462252 
257 419 63788028 
257 703 57427947 
258 791 45958787 
258 946 56284037 
258 385 38160792 
259 840 67853496 
259 392 95742839 
259 652 83538427 
260 449 21583297 
260 273 69372518 
260 496 56855148 
260 511 82000300 
261 571 94570539 
261 455 13557982 
262 441 80616184 
262 794 38844797 
263 313 82847685 
263 431 329632 
263 891 54250083 
263 489 91444226 
264 581 90449052 
264 632 89232824 
264 437 6421970 
264 550 38692768 
264 272 77899199 
264 557 30418898 
265 320 31730581 
266 565 29893556 
266 887 51809281 
266 787 69437905 
267 512 63274215 
267 371 89572964 
267 589 99971088 
267 628 85394808 
269 850 57586954 
269 709 48409239 
269 524 68088324 
269 376 88235007 
270 838 90535120 
270 794 36090495 
270 620 47066473 
270 590 40764556 
271 812 90773484 
271 303 93107214 
271 857 22335087 
272 273 9830872 
272 608 63640175 
272 578 62508561 
273 877 47246697 
273 747 61453243 
273 599 10735842 
273 781 23647877 
273 965 58328719 
273 459 32750934 
274 658 90865921 
274 968 45731228 
274 933 68886291 
275 569 15715661 
275 384 61315880 
275 511 73622369 
275 793 41511251 
275 609 98095646 
276 639 30474192 
276 449 96941850 
276 601 86713826 
276 708 7120287 
277 322 8691715 
277 375 41077717 
277 285 51573247 
278 531 30883038 
278 672 54098942 
278 817 33030265 
279 745 21768909 
280 882 88509418 
280 681 36222377 
280 443 38824444 
281 990 52798808 
282 301 81533123 
283 409 52086761 
283 460 71520097 
283 973 5875117 
284 542 8144038 
285 648 39311206 
286 493 91858815 
286 585 44084167 
287 473 77668317 
287 979 70581195 
288 788 77481955 
288 345 79470359 
288 594 80240112 
289 823 88478828 
289 518 9950309 
289 601 13380006 
290 354 2666712 
290 445 41270341 
291 425 58586415 
291 932 12833974 
291 338 90277369 
291 386 23556444 
291 738 6705293 
292 899 18197073 
292 849 9865614 
292 880 51526961 
292 664 52368694 
293 357 44467001 
293 856 31105141 
293 758 22413232 
293 311 50662577 
294 679 39198390 
294 685 56744138 
295 626 90422976 
295 705 21324224 
295 686 74851609 
295 594 94553316 
295 960 88223794 
296 737 65728016 
296 334 68423694 
296 935 97252452 
297 567 27787451 
298 571 4902585 
298 630 65085100 
298 871 27697156 
298 419 35073097 
299 601 57834414 
300 474 8827705 
300 834 87078604 
302 828 7347584 
303 848 1387108 
303 880 80355612 
303 790 93149176 
303 378 71790176 
304 363 69147978 
304 676 44661926 
304 698 16327844 
304 787 11456265 
305 639 54302183 
305 618 90467061 
305 752 62202182 
307 598 71029802 
307 750 57094709 
308 393 99678818 
308 519 9961235 
309 704 59795026 
309 589 73584317 
311 564 91009682 
311 548 53198913 
312 829 87178430 
312 368 92601370 
313 848 12588783 
313 593 61864656 
314 952 33546192 
314 754 65196686 
315 593 52966620 
315 772 74192805 
316 393 78709657 
316 928 97077225 
316 747 89858127 
316 841 44519187 
317 792 66737205 
317 943 44146577 
317 490 60621931 
317 736 69055101 
317 463 2640950 
318 897 40956538 
318 727 47368023 
319 868 96409249 
319 354 93865200 
319 546 35189511 
319 706 65477689 
320 415 26404064 
320 594 93109289 
320 513 85918850 
320 663 99414967 
321 820 26214180 
321 496 76772025 
322 624 6566887 
322 836 48580870 
323 395 16698174 
323 441 60227948 
324 441 66749478 
324 726 14558003 
324 773 71340397 
324 789 32320196 
325 401 13160943 
326 390 7212444 
327 356 30252594 
327 838 86339912 
327 696 44580362 
328 547 23326872 
328 774 96219019 
329 907 34883858 
329 454 28252032 
329 466 62871683 
329 736 74468648 
330 973 24616770 
330 509 43671234 
330 795 96684633 
331 819 49597191 
331 770 21450919 
331 387 22354646 
331 619 34094651 
332 788 70703298 
332 394 12139479 
333 657 65453861 
333 646 55344049 
334 842 4306109 
334 638 91791926 
334 369 46695755 
334 426 6417066 
334 891 7139240 
335 960 80078837 
335 683 2439068 
335 540 72880862 
336 838 47927250 
336 935 41444515 
336 845 74210426 
336 454 67001864 
337 695 88737250 
337 783 66632166 
337 604 69517122 
337 455 39909007 
338 617 25634922 
338 726 72903761 
339 428 54723323 
339 938 46962409 
341 757 38834045 
341 457 63912307 
341 981 95187905 
341 414 9599770 
342 905 88190046 
342 640 46720844 
343 939 46061056 
343 982 42655657 
343 953 44546948 
343 813 40278785 
344 746 65057663 
344 984 99445218 
344 745 52725317 
345 456 38403666 
345 755 39883540 
346 513 4817001 
346 860 39990561 
347 476 15736250 
347 892 46158999 
348 763 67043779 
349 350 72640169 
349 603 47186096 
349 681 84704005 
349 599 99176386 
350 694 54006180 
350 800 2727548 
350 733 27691569 
351 847 50040381 
351 776 98168914 
351 702 62818313 
352 554 35323858 
352 592 88739566 
353 690 7803867 
353 813 11078260 
353 712 9902421 
354 395 65058394 
354 846 111485 
354 804 53704170 
355 768 97790266 
356 765 19260046 
356 569 66985457 
356 843 82080789 
356 370 7841919 
358 561 629022 
358 760 58920003 
358 463 82042867 
358 735 3625981 
359 561 59707689 
359 754 112503 
360 779 11139301 
361 514 27810410 
361 955 94046668 
362 808 44594719 
362 574 18187347 
362 588 73324400 
363 370 68479748 
364 713 2417591 
365 696 98893632 
365 801 60753186 
366 972 76404858 
366 548 75935318 
366 748 69872020 
366 820 29176265 
367 579 86479666 
367 788 98757826 
367 653 54237348 
367 658 62260304 
368 478 76797744 
368 449 81922778 
369 751 7081370 
369 969 41894203 
370 707 91855008 
370 767 35570437 
371 742 13785734 
371 570 68753306 
371 400 29974969 
372 651 54567365 
372 966 53357461 
373 614 28469906 
373 550 55441600 
373 983 10480012 
374 597 76573401 
374 491 27336786 
374 450 58137537 
374 788 61091776 
375 687 88274181 
376 998 35375880 
377 771 29508801 
377 722 84498600 
378 586 31940649 
378 555 6367740 
378 876 52423763 
379 492 2708613 
380 573 17260805 
380 682 66324836 
380 845 46113066 
380 675 84441653 
381 577 51900739 
381 815 60233689 
381 583 16666848 
382 778 15114351 
382 728 85846297 
383 909 2331001 
383 831 16296820 
384 592 75546665 
384 562 78831677 
384 989 71611729 
385 579 73767955 
385 894 11233629 
386 596 66311967 
386 788 49498429 
387 585 54179427 
388 845 39009527 
388 421 33587023 
388 593 39539109 
388 876 11674610 
388 554 39973533 
389 909 42320631 
389 996 96243057 
389 536 30289021 
390 885 79738813 
390 615 37372555 
391 768 34952725 
391 877 71130403 
391 716 38435072 
392 769 61623363 
392 696 26012678 
393 415 77321088 
393 450 96782348 
394 719 5039726 
395 942 48057517 
396 743 37914279 
396 428 49676416 
396 999 8578696 
396 602 87363144 
396 435 54830386 
397 493 44575630 
397 804 72722638 
397 575 13901766 
398 445 44192254 
398 432 24838020 
398 585 36985390 
398 561 4712138 
399 417 2817865 
399 986 84550891 
399 806 73407422 
399 887 68539153 
401 691 66493516 
403 648 171622 
403 641 32507619 
404 426 18372263 
404 738 10364857 
404 579 64903335 
404 906 80785905 
405 816 42020164 
406 660 49510911 
406 951 2404851 
406 897 17938318 
406 877 77974085 
406 588 43824952 
407 457 12496265 
407 629 95166722 
407 599 51183714 
407 425 48633934 
408 871 98235711 
408 491 78250041 
408 706 60805306 
408 720 4581993 
409 431 85173563 
411 525 13145361 
411 519 9322515 
412 773 42287522 
412 479 64667346 
412 740 55326336 
413 864 42340234 
413 484 31190677 
413 846 8161172 
414 923 55552129 
414 626 78975807 
414 623 17413482 
415 893 68876727 
417 431 56294167 
419 945 4760038 
420 899 37067659 
420 567 17734216 
420 747 70011558 
422 813 18931496 
422 706 21299749 
422 744 81868905 
423 699 31938704 
423 605 60190410 
423 440 9226207 
424 947 69844056 
424 934 15536215 
426 556 68209292 
426 566 18314413 
427 993 61942802 
427 899 68400403 
428 602 75993094 
428 617 68907118 
429 861 84645158 
429 564 26070935 
430 866 67756012 
430 870 75671147 
430 442 98335347 
431 693 41338380 
431 567 58811741 
431 506 73918316 
431 525 57196244 
432 489 50121985 
432 450 93615908 
433 560 6968149 
433 801 75966601 
433 558 61508065 
434 947 51703946 
434 967 76085847 
434 746 28946020 
435 537 94233039 
435 620 37693003 
436 839 60005912 
436 995 67118822 
437 730 46748949 
438 506 6893909 
438 965 72240383 
438 742 28183454 
438 465 27976931 
439 777 67767110 
440 916 91461829 
440 720 51567918 
440 822 55447822 
440 691 7135398 
440 555 46731096 
441 533 5037278 
442 940 6505450 
442 524 14649554 
442 590 92257128 
442 860 56305415 
442 921 46737160 
443 903 10249492 
444 953 42789143 
444 750 47405234 
445 710 76346312 
445 649 3585450 
446 461 8239920 
447 704 89663638 
448 943 12385605 
449 970 46751968 
450 800 84973667 
450 997 32165302 
450 795 70865388 
450 509 7593861 
452 799 92221458 
452 651 72045942 
452 849 93503879 
454 647 60097204 
454 502 87245871 
455 824 95250937 
455 842 41951458 
455 657 58039917 
456 487 698781 
458 902 48919230 
458 553 7493531 
458 974 97340788 
458 813 44632513 
459 916 30895876 
459 601 86855288 
460 954 64614846 
460 526 87021084 
461 550 38202172 
461 817 25268832 
462 815 40617238 
463 964 64432186 
464 480 27679821 
465 719 26515891 
465 777 31939132 
465 892 68488774 
466 761 59073652 
466 820 61343961 
466 757 97417754 
467 648 39083660 
467 930 95512354 
467 643 41677567 
467 479 48874825 
468 478 89848754 
468 564 26835141 
468 542 96656624 
470 978 7735455 
470 641 69884975 
470 865 67122651 
471 881 18485931 
471 970 55307056 
471 767 52463503 
472 699 92308884 
472 560 68501805 
472 474 91825357 
473 486 70020469 
473 480 17091778 
473 500 39494570 
473 632 98771718 
475 668 18311743 
475 724 6894932 
475 834 61430188 
475 679 76336617 
476 984 16476246 
476 856 2998045 
477 967 78239691 
478 676 69322065 
478 979 52790221 
479 537 8350417 
479 723 67358188 
480 793 57532182 
481 640 47144009 
481 976 68340095 
481 616 96699174 
481 491 16389828 
481 489 32833233 
482 508 79983126 
483 965 34849864 
483 859 92957575 
484 545 86437804 
485 855 61391324 
485 633 68944933 
487 624 21471436 
487 884 49979606 
488 804 63654559 
488 778 95594949 
488 578 59296135 
488 571 95319202 
491 878 22019926 
491 780 1030836 
491 690 43957392 
492 994 96672218 
492 881 72619853 
492 925 3024943 
492 849 38795584 
493 602 13956033 
493 705 22288869 
494 997 88561984 
494 805 25841220 
495 790 92853771 
495 843 50367754 
495 740 44331707 
496 885 51652175 
497 973 60022438 
497 915 52192653 
497 499 67988193 
499 862 85110341 
499 930 82883517 
499 615 50490625 
500 554 15105508 
500 941 66832324 
500 659 33159249 
501 755 93720159 
502 755 3287535 
502 954 50393444 
502 543 79705260 
504 759 40613353 
504 529 72650474 
504 877 25075595 
505 830 39167030 
506 769 99889879 
506 664 45559228 
507 869 74299924 
508 607 73988696 
508 663 66172712 
508 718 23580020 
508 593 19133210 
509 864 37241076 
509 849 97717392 
510 600 89161084 
511 775 82905317 
511 870 4030515 
511 934 31540642 
512 841 80429930 
514 879 54846473 
514 736 89961159 
514 587 91480883 
515 880 20831618 
515 684 23108679 
515 681 48174228 
517 771 75077275 
517 628 85460664 
519 617 3406695 
519 798 70536808 
519 964 96038436 
519 752 53825786 
519 685 70317950 
520 834 82766951 
520 671 60617914 
520 804 90317152 
520 681 51870211 
521 574 54160281 
521 772 25232447 
522 668 66482567 
522 709 62084336 
523 841 79156289 
524 965 35110231 
525 819 36086311 
525 916 69736521 
526 632 40610960 
526 565 44568676 
526 911 95816784 
526 685 7276882 
526 972 27124810 
526 643 41362195 
526 880 16184680 
526 900 10563735 
527 831 22341360 
527 621 52974514 
527 997 36308277 
528 997 63644523 
529 847 73658524 
529 879 55927876 
529 678 53099139 
531 569 41719456 
531 578 51927752 
532 565 14112824 
532 608 85611728 
533 980 55662732 
533 962 15522063 
534 751 16325886 
534 814 27587761 
535 960 71735003 
535 798 68482568 
536 624 45676003 
537 877 55146417 
